Date,Country,Sentiment
2024-07-26,China,1.131944683442573
2024-02-18,USA,-0.78198932463696835
2025-10-14,Canada,0.39894084777256456
2023-02-15,USA,-0.95442792697901957
2023-02-18,UAE,1.5882662241432894
2021-06-25,UAE,0.489955637339918
2025-12-15,UAE,1.6336976141096959
2023-07-25,USA,-0.7248102687071678
2020-10-07,Saudi Arabia,-0.0825258889857313
2026-03-19,Canada,0.14236476056024083
2023-08-30,Saudi Arabia,0.39718042395782122
2020-02-15,USA,-1.3642445898027136
2020-07-19,Canada,-1.8977609602443533
2025-04-07,China,0.38290423335664003
2021-02-10,Saudi Arabia,-1.2278532787887018
2022-10-13,USA,-1.1578586667529109
2020-12-08,Canada,-0.35604142736634581
2022-11-13,Russia,-2.0750527075863348
2023-04-11,Russia,-1.9673494484765826
2023-04-15,Iraq,-2.0465618644955113
2023-06-29,Russia,-2.1723581607289875
2021-03-21,Russia,-1.7144339322891637
2024-03-10,Iraq,-1.2779498310841342
2022-02-15,Russia,-1.7823819739289493
2022-02-17,Russia,-1.9768135888590068
2024-11-16,USA,-0.58046642145563188
2026-01-11,Iraq,-2.0406953638379974
2026-01-18,Russia,-2.2140011688940051
2021-02-07,Iraq,-2.5180508042251817
2021-02-07,UAE,0.032224911187238442
2022-06-18,USA,-1.0454178340632376
2020-11-11,USA,-0.98383406535460127
2021-09-27,Iraq,-2.0180564513675772
2025-04-14,China,1.1776127184233018
2021-01-11,Russia,-1.4483600259328098
2025-01-05,China,0.53306999979256808
2021-06-21,USA,-0.928644303317274
2023-05-16,Russia,-1.902258867781524
2025-08-25,UAE,0.57982239531892765
2023-11-26,USA,-1.0073800567292397
2022-06-07,UAE,-0.51362172929404237
2021-10-05,Iraq,-2.4580681183950475
2026-03-09,Russia,-2.0679605722452972
2023-10-06,China,0.6820506651331828
2021-07-30,UAE,-2.1563925470481617
2022-04-23,China,0.10216697596122502
2025-07-02,Saudi Arabia,1.027114034637608
2025-04-25,China,1.301239877307597
2026-03-31,Russia,-2.3141424495045277
2023-08-05,Saudi Arabia,-0.28597873398787449
2023-03-05,Canada,0.19503104061269458
2024-07-23,Canada,-0.77201763968741577
2025-01-22,Canada,-0.34478084080742116
2023-03-12,Canada,-0.20520356054341327
2025-12-30,Iraq,-2.0357466893686795
2023-05-14,China,1.1394718638436947
2022-06-09,UAE,1.4167797650632732
2022-03-22,Saudi Arabia,-0.28835103280283236
2026-02-16,UAE,1.1019752919257226
2024-12-24,Russia,-1.8005427648158212
2020-08-24,Saudi Arabia,-0.090792204567945442
2024-12-28,USA,-1.0835802523777651
2024-01-11,China,1.1515639328049654
2024-03-30,China,1.6757138457607081
2023-09-21,UAE,1.84573186459179
2025-07-31,Saudi Arabia,0.23225280581165381
2022-02-02,China,0.50930207793841142
2025-07-14,Iraq,-1.2464487430011575
2026-03-15,China,0.79854151223370884
2020-04-11,UAE,-1.4648134885460622
2020-01-22,China,-0.85263784026460754
2024-11-26,China,1.2636277499295976
2023-01-16,Iraq,-0.71855707560348292
2022-12-20,UAE,1.9932626266605371
2023-08-13,USA,-1.2365244236467596
2025-09-07,UAE,0.29395702678085223
2026-01-30,UAE,2.1921045289449119
2021-11-16,Canada,-0.22793255075977464
2020-05-27,USA,-1.4335110674084734
2024-01-30,China,1.1913174810938509
2022-08-01,USA,-1.02899036011109
2023-11-14,Russia,-1.9134840254897663
2025-10-03,Saudi Arabia,0.66914799994409191
2020-03-27,Iraq,-3.16428902506204
2023-09-11,USA,-0.71332613692965663
2020-03-20,Russia,-1.7258337957156591
2020-01-07,UAE,-0.032551799125174342
